sep=,



=======================================================
Image Data:,../shared/images/nature_tiny_ver_1.png,PNG,400x600,400x600+0+0,8-bit,sRGB,428379B,0.016u,0:00.000,
-------------------------------------------------------

Format,SRC_PATH,SRC_SIZE,RES_SIZE,ENC_TIME,DEC_TIME,DIFF_SIZE(%),QUALITY,SSIM,PSNR,MSE,RMSE,UQI,ERGAS,SCC,RASE,SAM,VIFP,PSNRB,FSIM,SRE
WebP,./result/res_webp_6.webp,3002845,501568,1401,331,83,96,0.9890918260463618,46.05070624762317,1.614394748263889,1.270588347287936,0.9922698561040603,0.41707670171577854,0.37681473818661143,nan,0.012536126904425501,0.8277673303530596,43.4000732091696,0.8720299379407943,70.42764396401292,
FLIF,./result/res_flif_6.flif,3002845,464573,15811,2448,85,66,0.9890420554991509,45.62995509248739,1.7786268807870371,1.3336517089506679,0.9907466318002803,0.4327134791032651,0.28976603432523085,nan,0.013052704132872461,0.8074197608501853,44.09746500758722,0.8673444227736219,70.06523326956955,
BPG,./result/res_bpg_6.bpg,3002845,283033,562,1574,91,1,0.9857710176385027,45.05088960481176,2.0323167679398146,1.4255934792007905,0.9893973356829925,0.4624547490017058,0.17079874606790219,nan,0.014221784427728736,0.7635112180180804,44.49985166303491,0.8202838873635135,69.72418091171001,
JPEG jpeglib-turbo,./result/res_jpeg_turbo_6.jpg,3002845,553242,64,64,82,94,0.9962463074489252,49.104406410959825,0.7991710069444444,0.8939636496773481,0.9970803006804619,0.2957355476448053,0.7582283980870711,nan,0.0087337415834706,0.9094087117448083,44.80814020035828,0.9354479652028297,72.20264193967564,
guetzli,./result/res_jpegGUETZLI_6.jpg,3002845,490539,126144,1502,84,96,0.9929754006871017,47.122506372996,1.2613328993055555,1.1230907796369605,0.995307380643076,0.3758142874953262,0.6274318215243168,nan,0.01102202507761589,0.8588130707979137,41.814351617598426,0.8920076850832275,71.22484399567554,
mozjpeg,./result/res_jpegMOZ_6.jpg,3002845,530036,578,93,82,91,0.9963042197039313,50.162971064587616,0.6263012152777778,0.7913919479485357,0.9967111227966715,0.2601127196159101,0.6933216658707078,nan,0.007826444383092034,0.9098059882329528,44.254418705360706,0.93125370189503,72.5022516777265,






=======================================================
Image Data:,../shared/images/people_nature_1_ver.png,PNG,1920x2400,1920x2400+0+0,8-bit,sRGB,5.06879MiB,0.000u,0:00.003,
-------------------------------------------------------

Format,SRC_PATH,SRC_SIZE,RES_SIZE,ENC_TIME,DEC_TIME,DIFF_SIZE(%),QUALITY,SSIM,PSNR,MSE,RMSE,UQI,ERGAS,SCC,RASE,SAM,VIFP,PSNRB,FSIM,SRE
AVIF,./result/res_avif_7.avif,5315012,847582,2063,1231,84,4,0.9952394978016318,47.501663374332004,1.1558833912037036,1.0751201752379609,0.999871890189241,0.19615076499529177,0.8137948903042235,62.064423657134995,0.006575732441492843,0.8837895120997045,41.83852130341325,0.9286732777683975,76.25077821515181,
JPEG XL,./result/res_jxl_7.jxl,5315012,890358,1179,1381,83,97,0.9927671955732656,45.902420993387466,1.6704683883101852,1.2924660105047967,0.9997927384408442,0.23873306286846416,0.7867236772924897,74.08647214993397,0.007706649592405982,0.8502934648513092,40.76229919116007,0.9127552561679174,75.82031241755801,
libjpeg Image Magick,./result/res_jpeg_7.jpg,5315012,1038610,273,1548,80,90,0.9924953477106154,45.917452079221476,1.6646968315972221,1.2902313093384543,0.9998424056281747,0.23468235473121926,0.7823448961189765,76.41982532817174,0.008066414259005918,0.8391830435672701,40.98025426292879,0.9086622393560297,75.16324038702037,
WebP,./result/res_webp_7.webp,5315012,1322440,2218,463,75,96,0.9899359725928552,45.05236843429179,2.031624855324074,1.42535078325445,0.9997874345621297,0.25949307316550013,0.7320755639840343,88.60497739579229,0.008846395572491122,0.8185024954920129,40.949598878128526,0.9054424297850128,74.8086327579595,
FLIF,./result/res_flif_7.flif,5315012,1187261,18173,2454,78,66,0.9870635828133801,44.346230496650314,2.3903269675925927,1.5460682286343617,0.9997607740822704,0.27984329743231967,0.6681962128718743,96.65086095841086,0.009640244564375873,0.7787386200837139,41.28179165086471,0.8930773325422937,74.3459629883205,
BPG,./result/res_bpg_7.bpg,5315012,1062312,867,1423,80,1,0.9655918111505111,40.61959440629876,5.637946108217593,2.3744359558045764,0.9995032643354708,0.4302853289472295,0.5126936988291302,144.57874013192531,0.014965648410827224,0.615566712071694,40.40674348635535,0.8153338237607611,72.3961176724364,
JPEG jpeglib-turbo,./result/res_jpeg_turbo_7.jpg,5315012,1122846,122,101,79,94,0.9950215828121275,47.085116547117025,1.2722390046296297,1.12793572717138,0.9998688170376484,0.2056662421099306,0.8178602135729116,63.83202556060634,0.006966367629443997,0.8779437871142904,41.73942753412595,0.9246504437332447,75.92111323924017,
guetzli,./result/res_jpegGUETZLI_7.jpg,5315012,919364,170718,1469,83,96,0.9877803249670367,43.20345418518698,3.109817780671296,1.7634675445471901,0.9997091994745199,0.32219900217176706,0.7697183849779623,97.67751226532619,0.010930670974948582,0.7673855783975473,39.364569518542375,0.8733553787793037,73.93500913376256,
mozjpeg,./result/res_jpegMOZ_7.jpg,5315012,948202,752,137,82,91,0.9936976532930563,46.59611253974049,1.4238659577546295,1.1932585460639407,0.9998702200508105,0.2169264818804611,0.7995181408339304,69.43325364337042,0.0074848628985839235,0.843772422969951,41.4459831816871,0.9142212419825739,75.45834500413507,



