=======================================================;;;;;;;;;;;;;;;;;;;;
BPG;./result/res_bpg_5.bpg;2432313;548861;339;480;77;1;0.985155287;37.99901918;10.30809573;3.210622327;0.999505901;0.555750606;0.862617312;158.6233673;0.020841151;0.734933223;37.90238858;0.865442892;68.80487667
JPEG jpeglib-turbo;./result/res_jpeg_turbo_5.jpg;2432313;372575;50;46;85;85;0.984387107;36.58959457;14.26004525;3.776247509;0.999122687;0.658960155;0.847188597;182.7409498;0.024392754;0.711860058;35.19231924;0.859784068;68.24026333
guetzli;./result/res_jpegGUETZLI_5.jpg;2432313;292512;66131;520;88;87;0.975520459;34.52303406;22.94969695;4.790584197;0.99880122;0.835220018;0.786354487;229.5961115;0.031038294;0.644663663;32.96604488;0.83604167;67.15782347
mozjpeg;./result/res_jpegMOZ_5.jpg;2432313;295733;228;47;88;81;0.980102215;35.77441758;17.20436322;4.14781427;0.999111234;0.720994848;0.791516593;200.8759299;0.026903581;0.682739475;34.487958;0.852635252;67.7410709
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
=======================================================;;;;;;;;;;;;;;;;;;;;
Image Data:;../shared/images/food_ver_1.png;PNG;1920x2400;1920x2400+0+0;8-bit;sRGB;2.86374MiB;0.000u;0:00.000;;;;;;;;;;;
-------------------------------------------------------;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Format;SRC_PATH;SRC_SIZE;RES_SIZE;ENC_TIME;DEC_TIME;DIFF_SIZE(%);QUALITY;SSIM;PSNR;MSE;RMSE;UQI;ERGAS;SCC;RASE;SAM;VIFP;PSNRB;FSIM;SRE
AVIF;./result/res_avif_6.avif;3002845;82308;1878;994;97;28;0.97500476;41.06160755;5.092365958;2.25662712;0.985174141;0.743660927;0.13606771;nan;0.022349185;0.665102211;39.4310446;0.769426614;67.94407763
JPEG XL;./result/res_jxl_6.jxl;3002845;289533;942;1461;90;91;0.989464891;44.74978523;2.178220486;1.475879564;0.991087432;0.500679644;0.364709968;nan;0.014440184;0.811277358;41.03232653;0.869249552;70.20257021
libjpeg Image Magick;./result/res_jpeg_6.jpg;3002845;370720;210;1683;88;85;0.990413967;45.32927269;1.906132523;1.380627583;0.993539565;0.456865011;0.542149385;nan;0.013525969;0.835188867;42.18737547;0.885335697;70.27380124
WebP;./result/res_webp_6.webp;3002845;147546;1095;287;95;78;0.970469195;40.51592368;5.774149089;2.402945919;0.979337884;0.790251001;0.170882605;inf;0.023674906;0.655487132;38.96652398;0.76252233;67.65217948
FLIF;./result/res_flif_6.flif;3002845;157188;14362;2039;95;3;0.974456323;40.63554718;5.61727445;2.370078997;0.982137368;0.769991031;0.149351007;nan;0.023345867;0.66458377;39.99604835;0.771143358;67.54314255
BPG;./result/res_bpg_6.bpg;3002845;283033;546;1589;91;1;0.985771018;45.0508896;2.032316768;1.425593479;0.989397336;0.462454749;0.170798746;nan;0.014221784;0.763511218;44.49985166;0.820283887;69.72418091
JPEG jpeglib-turbo;./result/res_jpeg_turbo_6.jpg;3002845;377377;62;61;87;85;0.990903344;45.48679802;1.838233001;1.355814516;0.99382711;0.448716666;0.552447146;nan;0.013275008;0.839785663;42.28439684;0.88798232;70.36301303
guetzli;./result/res_jpegGUETZLI_6.jpg;3002845;318023;127415;1060;89;87;0.981766777;42.56447202;3.60274197;1.898089031;0.990391239;0.632201548;0.417689444;nan;0.01876996;0.73203895;38.53455445;0.804655555;68.81102387
